**Title: Yayınlar**

| Author | Title | Journal | Type | Date | Citation Count |
| Tufan Kumbasar | Correction to: Deep learning frameworks to learn prediction and simulation focused control system models (Applied Intelligence, (2022), 52, 1, (662-679), 10.1007/s10489-021-02416-0) | Applied Intelligence | Erratum | 1.01.2022 | 0 |
| Aykut Beke | Deep learning frameworks to learn prediction and simulation focused control system models | Applied Intelligence | Article | 1.01.2022 | 1 |
| Aykut Beke | Correction to: Deep learning frameworks to learn prediction and simulation focused control system models (Applied Intelligence, (2022), 52, 1, (662-679), 10.1007/s10489-021-02416-0) | Applied Intelligence | Erratum | 1.01.2022 | 0 |
| Metin Gökaşan | Complex Current Regulator Design at Low Switching Frequency for Railway Traction Applications | Journal of Control, Automation and Electrical Systems | Article | 1.01.2022 | 0 |
| Abdurrahman Yılmaz | Improving Navigation Stack of a ROS-Enabled Industrial Autonomous Mobile Robot (AMR) to be Incorporated in a Large-Scale Automotive Production | International Journal of Advanced Manufacturing Technology | Article | 1.01.2022 | 0 |
| Hakan Temeltaş | Generalized bias compensated pseudolinear Kalman filter for colored noisy bearings-only measurements | Signal Processing | Article | 1.01.2022 | 0 |
| Hakan Temeltaş | Improving Navigation Stack of a ROS-Enabled Industrial Autonomous Mobile Robot (AMR) to be Incorporated in a Large-Scale Automotive Production | International Journal of Advanced Manufacturing Technology | Article | 1.01.2022 | 0 |
| Mustafa Doğan | Adaptive output regulation of the adaptive optics system | JVC/Journal of Vibration and Control | Article | 1.01.2022 | 0 |
| Yaprak Yalçın | Backstepping control for a class of underactuated nonlinear mechanical systems with a novel coordinate transformation in the discrete-time setting | Proceedings of the Institution of Mechanical Engineers. Part I: Journal of Systems and Control Engineering | Article | 1.01.2022 | 0 |
| Yaprak Yalçın | Immersion and invariance disturbance observer-based nonlinear discrete-time control for fully actuated mechanical systems | International Journal of Systems Science | Article | 1.01.2022 | 0 |
| Gülay Öke Günel | Model-free MIMO self-tuning controller based on support vector regression for nonlinear systems | Neural Computing and Applications | Article | 1.11.2021 | 0 |
| Ali Fuat Ergenç | A Comparison of Sensorless MTPA and Quasi-MPF Control for VSD-PMaSynRM | IECON Proceedings (Industrial Electronics Conference) | Conference Paper | 13.10.2021 | 0 |
| Tufan Kumbasar | Capturing Uncertainty with Interval Fuzzy Logic Systems through Composite Deep Learning | IEEE International Conference on Fuzzy Systems | Conference Paper | 11.07.2021 | 0 |
| Tufan Kumbasar | Enhancing the Learning of Interval Type-2 Fuzzy Classifiers with Knowledge Distillation | IEEE International Conference on Fuzzy Systems | Conference Paper | 11.07.2021 | 0 |
| Tufan Kumbasar | Integrating Interval Type-2 Fuzzy Sets into Deep Embedding Clustering to Cope with Uncertainty | IEEE International Conference on Fuzzy Systems | Conference Paper | 11.07.2021 | 0 |
| Aykut Beke | Capturing Uncertainty with Interval Fuzzy Logic Systems through Composite Deep Learning | IEEE International Conference on Fuzzy Systems | Conference Paper | 11.07.2021 | 0 |
| Mehmet Turan Söylemez | Traffic light control for multi intersection model in Istanbul/Altunizade | 2021 29th Mediterranean Conference on Control and Automation, MED 2021 | Conference Paper | 22.06.2021 | 0 |
| Volkan Sezer | A novel point inclusion test for convex polygons based on Voronoi tessellations | Applied Mathematics and Computation | Article | 15.06.2021 | 0 |
| Volkan Sezer | Analysis and Improvement of Geometric Parallel Parking Methods with Respect to the Minimum Final Lateral Distance to the Parking Spot | International Journal of Intelligent Transportation Systems Research | Article | 1.06.2021 | 1 |
| Abdurrahman Yılmaz | Integration of affine ICP into the precise localization problem of smart-AGVs: Procedures, enhancements and challenges | Transactions of the Institute of Measurement and Control | Article | 1.05.2021 | 1 |
| Hakan Temeltaş | Integration of affine ICP into the precise localization problem of smart-AGVs: Procedures, enhancements and challenges | Transactions of the Institute of Measurement and Control | Article | 1.05.2021 | 1 |
| Ali Fuat Ergenç | A sensorless angular displacement measurement method for rotational oscillation generation in biomedical applications with Ros-Drill© | Transactions of the Institute of Measurement and Control | Article | 1.05.2021 | 0 |
| Ali Fuat Ergenç | Stability analysis of connected vehicles with V2V communication and time delays: CTCR method via Bézout's resultant | Transactions of the Institute of Measurement and Control | Article | 1.05.2021 | 0 |
| Serhat İkizoğlu | Search for suitability of relatively narrow test sites for antenna calibration according to ANSI C63.5-2006 standard site method - A case study in Istanbul-Turkey | Measurement: Journal of the International Measurement Confederation | Article | 1.05.2021 | 0 |
| Erhan Yumuk | Modified posicast control design method based on the parameters of a fractional order system | Journal of Dynamic Systems, Measurement and Control, Transactions of the ASME | Article | 1.04.2021 | 1 |
| Müjde Güzelkaya | Modified posicast control design method based on the parameters of a fractional order system | Journal of Dynamic Systems, Measurement and Control, Transactions of the ASME | Article | 1.04.2021 | 1 |
| Mehmet Turan Söylemez | Implementation and Comparison of PID, PI-PD, LQR and MPC on Separation Clutch System in Slip | Proceedings of the IEEE International Conference on Industrial Technology | Conference Paper | 10.03.2021 | 0 |
| Tufan Kumbasar | A fuzzy logic-based autonomous car control system for the JavaScript Racer game | Transactions of the Institute of Measurement and Control | Article | 1.03.2021 | 0 |
| Aykut Beke | A fuzzy logic-based autonomous car control system for the JavaScript Racer game | Transactions of the Institute of Measurement and Control | Article | 1.03.2021 | 0 |
| Yaprak Yalçın | Discrete-time backstepping control with nonlinear adaptive disturbance attenuation for the inverted-pendulum system | Transactions of the Institute of Measurement and Control | Article | 1.03.2021 | 3 |
| Tufan Kumbasar | Towards Systematic Design of General Type-2 Fuzzy Logic Controllers: Analysis, Interpretation, and Tuning | IEEE Transactions on Fuzzy Systems | Article | 1.02.2021 | 4 |
| Gülay Öke Günel | Online Support Vector Regression Based Adaptive NARMA-L2 Controller for Nonlinear Systems | Neural Processing Letters | Article | 1.02.2021 | 2 |
| Tufan Kumbasar | An Intelligent Overtaking Assistant System for Autonomous Vehicles | Advances in Intelligent Systems and Computing | Conference Paper | 1.01.2021 | 1 |
| Erhan Yumuk | Application of fractional order PI controllers on a magnetic levitation system | Turkish Journal of Electrical Engineering and Computer Sciences | Article | 1.01.2021 | 1 |
| Müjde Güzelkaya | Application of fractional order PI controllers on a magnetic levitation system | Turkish Journal of Electrical Engineering and Computer Sciences | Article | 1.01.2021 | 1 |
| Abdurrahman Yılmaz | Water leakage reduction in the water distribution network with real time pressure management | Teknik Dergi/Technical Journal of Turkish Chamber of Civil Engineers | Article | 1.01.2021 | 0 |
| Emre Dincel | Analytical design of discrete PI-PR controllers via dominant pole assignment | ISA Transactions | Article | 1.01.2021 | 1 |
| Emre Dincel | Advanced mechanical ventilation modes: design and computer simulations | Computer Methods in Biomechanics and Biomedical Engineering | Article | 1.01.2021 | 0 |
| Hakan Temeltaş | Guided Soft Actor Critic: A Guided Deep Reinforcement Learning Approach for Partially Observable Markov Decision Processes | IEEE Access | Article | 1.01.2021 | 0 |
| Hakan Temeltaş | Transfer of Craft Knowledge to New Product Development through Collaboration between Craftsmen and Designers | Design Journal | Article | 1.01.2021 | 0 |
| Mehmet Turan Söylemez | Different Fuzzy Logic Control Strategies for Traffic Signal Timing Control with State Inputs | IFAC-PapersOnLine | Conference Paper | 1.01.2021 | 2 |
| Mehmet Turan Söylemez | A Reservation Method for Multi-agent System Intersection Management with Energy Consumption Considerations | IFAC-PapersOnLine | Conference Paper | 1.01.2021 | 1 |
| Mehmet Turan Söylemez | Analytical design of discrete PI-PR controllers via dominant pole assignment | ISA Transactions | Article | 1.01.2021 | 1 |
| Mehmet Turan Söylemez | Agent-Based Route Planning with Deep Q Learning | 2021 13th International Conference on Electrical and Electronics Engineering, ELECO 2021 | Conference Paper | 1.01.2021 | 0 |
| Mehmet Turan Söylemez | Analysis of disturbance observer-based control systems via spherical polynomials | International Journal of Control | Article | 1.01.2021 | 0 |
| Mehmet Turan Söylemez | Effect of Guaranteed Emergency Braking Rate and Gradient on Turnback Headway Time in Metro Lines | 2021 13th International Conference on Electrical and Electronics Engineering, ELECO 2021 | Conference Paper | 1.01.2021 | 0 |
| Mehmet Turan Söylemez | Fuzzy Logic Controller for Leader-Follower Based Navigation of Mobile Robots in a ROS-enabled Environment | 2021 13th International Conference on Electrical and Electronics Engineering, ELECO 2021 | Conference Paper | 1.01.2021 | 0 |
| Gülay Öke Günel | Inverse Optimal Control Based on Improved Grey Wolf Optimization Algorithm | 2021 13th International Conference on Electrical and Electronics Engineering, ELECO 2021 | Conference Paper | 1.01.2021 | 0 |
| Gülay Öke Günel | Multiwall Carbon Nanotube Time Delay Section | 2021 4th International Symposium on Advanced Electrical and Communication Technologies, ISAECT 2021 | Conference Paper | 1.01.2021 | 0 |
| Gülay Öke Günel | SVR Based Design of Triple Band Rectangular Microstrip Antenna for WLAN and 5G Applications | 2021 4th International Symposium on Advanced Electrical and Communication Technologies, ISAECT 2021 | Conference Paper | 1.01.2021 | 0 |
| Volkan Sezer | A New Gap Selection Strategy for Follow the Gap Method | International Journal of Mechanical Engineering and Robotics Research | Article | 1.01.2021 | 1 |
| Volkan Sezer | A new gap-based obstacle avoidance approach: Follow the obstacle circle method | Robotica | Article | 1.01.2021 | 0 |
| Mustafa Doğan | A new modeling approach for stability of micro/nano bubbles | IFAC-PapersOnLine | Conference Paper | 1.01.2021 | 0 |
| Yaprak Yalçın | Adaptive interconnection and damping assignment passivity-based control for linearly parameterized discrete-time port controlled Hamiltonian systems via I&I approach | International Journal of Adaptive Control and Signal Processing | Article | 1.01.2021 | 1 |
| Yaprak Yalçın | Immersion and invariance control for Euler angles of a fixed-wing unmanned aerial vehicle | Asian Journal of Control | Article | 1.01.2021 | 0 |
| Erhan Yumuk | Optimal fractional-order controller design using direct synthesis method | IET Control Theory and Applications | Article | 17.12.2020 | 4 |
| Müjde Güzelkaya | Optimal fractional-order controller design using direct synthesis method | IET Control Theory and Applications | Article | 17.12.2020 | 4 |
| Hakan Temeltaş | Anticipatory Control of Momentum for Bipedal Walking on Uneven Terrain | Scientific Reports | Article | 1.12.2020 | 2 |
| Mustafa Doğan | Reduced order controller design for output regulation of adaptive optics system | 2020 12th International Conference on Electrical and Electronics Engineering, ELECO 2020 | Conference Paper | 26.11.2020 | 0 |
| Hakan Temeltaş | Tensor voting based 3-D point cloud processing for downsampling and registration | ACM International Conference Proceeding Series | Conference Paper | 20.11.2020 | 0 |
| Volkan Sezer | Comparison and Application of Multiple 3D LIDAR Fusion Methods for Object Detection and Tracking | 2020 5th International Conference on Robotics and Automation Engineering, ICRAE 2020 | Conference Paper | 20.11.2020 | 3 |
| Osman Ervan | Tensor voting based 3-D point cloud processing for downsampling and registration | ACM International Conference Proceeding Series | Conference Paper | 20.11.2020 | 0 |
| Tufan Kumbasar | Interval Type-2 Fuzzy Cognitive Map-Based Flight Control System for Quadcopters | International Journal of Fuzzy Systems | Article | 1.11.2020 | 4 |
| Hakan Temeltaş | Evaluation of 3D LiDAR Sensor Setup for Heterogeneous Robot Team | Journal of Intelligent and Robotic Systems: Theory and Applications | Article | 1.11.2020 | 1 |
| Gülay Öke Günel | Adaptive Sliding Mode Control based on SVR | 2020 11th IEEE Annual Ubiquitous Computing, Electronics and Mobile Communication Conference, UEMCON 2020 | Conference Paper | 28.10.2020 | 0 |
| Müjde Güzelkaya | Extended Kalman Filter Based Modified Elman-Jordan Neural Network for Control and Identification of Nonlinear Systems | Proceedings - 2020 Innovations in Intelligent Systems and Applications Conference, ASYU 2020 | Conference Paper | 15.10.2020 | 0 |
| Gülay Öke Günel | Extended Kalman Filter Based Modified Elman-Jordan Neural Network for Control and Identification of Nonlinear Systems | Proceedings - 2020 Innovations in Intelligent Systems and Applications Conference, ASYU 2020 | Conference Paper | 15.10.2020 | 0 |
| Gülay Öke Günel | Modified Calculation Based on Genetic Algorithm for the Resonant Frequencies of 30°-60°-90° Triangular Patch Antenna | Proceedings - 2020 Innovations in Intelligent Systems and Applications Conference, ASYU 2020 | Conference Paper | 15.10.2020 | 0 |
| Hakan Temeltaş | Constructing common height maps with various entropy-based similarity metrics and utilizing layering method for heterogeneous robot teams | Industrial Robot | Article | 9.10.2020 | 0 |
| Tufan Kumbasar | Catch me if you can: A pursuit-evasion game with intelligent agents in the Unity 3D game environment | 2020 International Conference on Electrical Engineering, ICEE 2020 | Conference Paper | 25.09.2020 | 0 |
| Metin Gökaşan | Novel Strategies for Security-hardened BMS for Extremely Fast Charging of BEVs | 2020 IEEE 23rd International Conference on Intelligent Transportation Systems, ITSC 2020 | Conference Paper | 20.09.2020 | 2 |
| Ovsanna Seta Estrada | Novel Strategies for Security-hardened BMS for Extremely Fast Charging of BEVs | 2020 IEEE 23rd International Conference on Intelligent Transportation Systems, ITSC 2020 | Conference Paper | 20.09.2020 | 2 |
| Mehmet Turan Söylemez | State feedback control for intelligent traffic light systems | 2020 28th Mediterranean Conference on Control and Automation, MED 2020 | Conference Paper | 1.09.2020 | 3 |
| Serhat İkizoğlu | Accuracy comparison of dimensionality reduction techniques to determine significant features from IMU sensor-based data to diagnose vestibular system disorders | Biomedical Signal Processing and Control | Article | 1.08.2020 | 3 |
| Tufan Kumbasar | Interpreting variational autoencoders with fuzzy logic: A step towards interpretable deep learning based fuzzy classifiers | IEEE International Conference on Fuzzy Systems | Conference Paper | 1.07.2020 | 4 |
| Tufan Kumbasar | A design approach for general type-2 fuzzy logic controllers with an online scheduling mechanism | IEEE International Conference on Fuzzy Systems | Conference Paper | 1.07.2020 | 1 |
| Tufan Kumbasar | A new fractional-order general type-2 fuzzy predictive control system and its application for glucose level regulation | Applied Soft Computing Journal | Article | 1.06.2020 | 24 |
| Metin Gökaşan | MTD Based Novel Scheme for BMS Security against CAN Bus Attacks during BEV Charging | 2020 9th Mediterranean Conference on Embedded Computing, MECO 2020 | Conference Paper | 1.06.2020 | 1 |
| Ovsanna Seta Estrada | Gap Based Novel Approach for Safe and Fast Obstacle Avoidance for Autonomous Platforms | IEEE International Symposium on Industrial Electronics | Conference Paper | 1.06.2020 | 1 |
| Ovsanna Seta Estrada | MTD Based Novel Scheme for BMS Security against CAN Bus Attacks during BEV Charging | 2020 9th Mediterranean Conference on Embedded Computing, MECO 2020 | Conference Paper | 1.06.2020 | 1 |
| Ovsanna Seta Estrada | An Experimental Study on Classification of Drivers Based on Confidence and Command of Driving | IEEE International Symposium on Industrial Electronics | Conference Paper | 1.06.2020 | 0 |
| Tufan Kumbasar | Optimal PID control of spatial inverted pendulum with big bang-big crunch optimization | IEEE/CAA Journal of Automatica Sinica | Article | 1.05.2020 | 7 |
| Tufan Kumbasar | Adaptive backstepping controller design for MIMO cancer immunotherapy using Laguerre polynomials | Journal of the Franklin Institute | Article | 1.05.2020 | 5 |
| Tufan Kumbasar | Design and development of FOLLY: A self-foldable and self-deployable quadcopter | Aerospace Science and Technology | Article | 1.05.2020 | 5 |
| Tufan Kumbasar | Real-Time Leader-Follower Formation Control of Nano Quadcopters in the Framework of Ratio Control | European Control Conference 2020, ECC 2020 | Conference Paper | 1.05.2020 | 0 |
| Mustafa Doğan | Stimulated emission-based model of fast radio bursts | Monthly Notices of the Royal Astronomical Society | Article | 1.05.2020 | 1 |
| Tufan Kumbasar | Parameter Identification and Auto-Tuning of IPMSM for Self-Commissioning | 2020 7th International Conference on Electrical and Electronics Engineering, ICEEE 2020 | Conference Paper | 1.04.2020 | 0 |
| Müjde Güzelkaya | Fusion of inverse optimal and model predictive control strategies | Transactions of the Institute of Measurement and Control | Article | 1.04.2020 | 2 |
| Hakan Temeltaş | Exact flow of particles using for state estimations in unmanned aerial systems'navigation | PLoS ONE | Article | 1.04.2020 | 2 |
| Gülay Öke Günel | An adaptive sliding mode controller based on online support vector regression for nonlinear systems | Soft Computing | Article | 1.03.2020 | 8 |
| Serhat İkizoğlu | Improving the functionality and performance of M-tran robots by constructional flexibility | International Journal of Robotics and Automation | Article | 11.02.2020 | 0 |
| Tufan Kumbasar | Type-2 Fuzzy Logic-Based Linguistic Pursuing Strategy Design and Its Deployment to a Real-World Pursuit Evasion Game | IEEE Transactions on Cybernetics | Article | 1.01.2020 | 11 |
| Tufan Kumbasar | A Deep Learning-Based Pipeline for Teaching Control Theory: Transforming Feedback Control Systems on Whiteboard into MATLAB | IEEE Access | Article | 1.01.2020 | 5 |
| Tufan Kumbasar | A New Approach for Tactical Decision Making in Lane Changing: Sample Efficient Deep Q Learning with a Safety Feedback Reward | IEEE Intelligent Vehicles Symposium, Proceedings | Conference Paper | 1.01.2020 | 3 |
| Tufan Kumbasar | Interval type-2 fuzzy systems as deep neural network activation functions | Proceedings of the 11th Conference of the European Society for Fuzzy Logic and Technology, EUSFLAT 2019 | Conference Paper | 1.01.2020 | 2 |
| Aykut Beke | Type-2 Fuzzy Logic-Based Linguistic Pursuing Strategy Design and Its Deployment to a Real-World Pursuit Evasion Game | IEEE Transactions on Cybernetics | Article | 1.01.2020 | 11 |
| Aykut Beke | A Deep Learning-Based Pipeline for Teaching Control Theory: Transforming Feedback Control Systems on Whiteboard into MATLAB | IEEE Access | Article | 1.01.2020 | 5 |
| Aykut Beke | Interval type-2 fuzzy systems as deep neural network activation functions | Proceedings of the 11th Conference of the European Society for Fuzzy Logic and Technology, EUSFLAT 2019 | Conference Paper | 1.01.2020 | 2 |
| Metin Gökaşan | Oscillation preventing closed-loop controllers via genetic algorithm for biped walking on flat and inclined surfaces | International Journal of Advanced Computer Science and Applications | Article | 1.01.2020 | 0 |
| Hakan Temeltaş | Multi-robot workspace allocation with hopfield networks and imprecise localization | Acta Polytechnica Hungarica | Article | 1.01.2020 | 2 |
| Hakan Temeltaş | Multi-robot energy-efficient coverage control with Hopfield networks | Studies in Informatics and Control | Article | 1.01.2020 | 1 |
| Mehmet Turan Söylemez | Skyhook controller design using bilinear matrix inequalities | IFAC-PapersOnLine | Conference Paper | 1.01.2020 | 0 |
| Ovsanna Seta Estrada | Oscillation preventing closed-loop controllers via genetic algorithm for biped walking on flat and inclined surfaces | International Journal of Advanced Computer Science and Applications | Article | 1.01.2020 | 0 |
| Ali Fuat Ergenç | Fabrication and characterization of a microfluidic device with vertically aligned multi walled carbon nanotube channels | IFAC-PapersOnLine | Conference Paper | 1.01.2020 | 0 |
| Arzuman Can Kutlucan | Inverse shaper based active vibration control of flexible structures with a collocated sensor-actuator pair | IFAC-PapersOnLine | Conference Paper | 1.01.2020 | 0 |
| Serhat İkizoğlu | Chaotic approach based feature extraction to implement in gait analysis | Springer Proceedings in Complexity | Conference Paper | 1.01.2020 | 0 |
| Afife Leyla Gören | Inverse shaper based active vibration control of flexible structures with a collocated sensor-actuator pair | IFAC-PapersOnLine | Conference Paper | 1.01.2020 | 0 |
| Abdurrahman Yılmaz | Self-adaptive Monte Carlo method for indoor localization of smart AGVs using LIDAR data | Robotics and Autonomous Systems | Article | 1.12.2019 | 14 |
| Hakan Temeltaş | Self-adaptive Monte Carlo method for indoor localization of smart AGVs using LIDAR data | Robotics and Autonomous Systems | Article | 1.12.2019 | 14 |
| Ovsanna Seta Estrada | Evaluation of driver stress level with survey, galvanic skin response sensor data, and force-sensing resistor data | Advances in Mechanical Engineering | Article | 1.12.2019 | 4 |
| Volkan Sezer | Motion Planning and Control with Randomized Payloads on Real Robot Using Deep Reinforcement Learning | International Journal of Semantic Computing | Conference Paper | 1.12.2019 | 0 |
| Ali Fuat Ergenç | A novel micro drill design based on Ros-DrillⒸ | Biomedical Microdevices | Article | 1.12.2019 | 1 |
| Hakan Temeltaş | A 3D LiDAR dataset of ITU heterogeneous robot team | ACM International Conference Proceeding Series | Conference Paper | 22.11.2019 | 1 |
| Osman Ervan | A 3D LiDAR dataset of ITU heterogeneous robot team | ACM International Conference Proceeding Series | Conference Paper | 22.11.2019 | 1 |
| Tufan Kumbasar | Altitude and Position Control of Parrot Mambo Minidrone with PID and Fuzzy PID Controllers | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 4 |
| Tufan Kumbasar | Big Bang Big Crunch based Near-Optimal Guidance Law for Interceptor Problem | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 1 |
| Tufan Kumbasar | Human Operator Modelling with Interval-valued Takagi-Sugeno Fuzzy Models | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 0 |
| Tufan Kumbasar | Self-Commissioning of Electrical Parameters for Sensorless IPMSM Drives | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 0 |
| Erhan Yumuk | Analytical and Optimal Fractional Order Controller Design Methodologies Implemented on Magnetic Levitation System | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 2 |
| Erhan Yumuk | Comparison of Optimal Integer and Fractional Order PID Controllers on a Stabilized Real-Time System | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 1 |
| Müjde Güzelkaya | Analytical and Optimal Fractional Order Controller Design Methodologies Implemented on Magnetic Levitation System | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 2 |
| Müjde Güzelkaya | Comparison of Optimal Integer and Fractional Order PID Controllers on a Stabilized Real-Time System | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 1 |
| Aykut Beke | Altitude and Position Control of Parrot Mambo Minidrone with PID and Fuzzy PID Controllers | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 4 |
| Abdurrahman Yılmaz | Robust Affine Iterative Closest Point Variant Using Point-to-line Metric and Correntropy Criterion | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 2 |
| Abdurrahman Yılmaz | ROS Architecture for Indoor Localization of Smart-AGVs Based on SA-MCL Algorithm | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 1 |
| Hakan Temeltaş | Downsampling of a 3D LiDAR Point Cloud by a Tensor Voting Based Method | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 2 |
| Hakan Temeltaş | Robust Affine Iterative Closest Point Variant Using Point-to-line Metric and Correntropy Criterion | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 2 |
| Hakan Temeltaş | ROS Architecture for Indoor Localization of Smart-AGVs Based on SA-MCL Algorithm | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 1 |
| Mehmet Turan Söylemez | Intelligent Traffic Light Control System Simulation for Different Strategies with Fuzzy Logic Controller | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 5 |
| Mehmet Turan Söylemez | Development of an Adaptive Autonomous Emergency Braking System Based on Road Friction | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 2 |
| Mehmet Turan Söylemez | Comparison of Disturbance Resolution between Timetable and Headway Based Regulations in CBTC: A Case Study of Marmaray | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 0 |
| Mehmet Turan Söylemez | Effect of Station Heights on Energy Efficiency in a Metro Line Using Regenerative Braking | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 0 |
| Gülay Öke Günel | SVR Approach to the Design of Dual-Band Rectangular Microstrip Antenna with a Pair of Slots for WLAN Applications | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 2 |
| Ovsanna Seta Estrada | Cascade Control of SATCOM on the Move (SOTM) Antennas with Jacobian Operator | 2019 IEEE 7th International Conference on Control, Mechatronics and Automation, ICCMA 2019 | Conference Paper | 1.11.2019 | 1 |
| Volkan Sezer | State of Charge Estimation for Lithium-Ion Batteries in Electric and Hybrid Vehicles | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 0 |
| Ali Fuat Ergenç | Dual Clutch Transmission Plant Modeling in AVL Cruise | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 1 |
| Osman Ervan | Downsampling of a 3D LiDAR Point Cloud by a Tensor Voting Based Method | ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering | Conference Paper | 1.11.2019 | 2 |
| Tufan Kumbasar | Learning with Type-2 Fuzzy activation functions to improve the performance of Deep Neural Networks | Engineering Applications of Artificial Intelligence | Article | 1.10.2019 | 20 |
| Aykut Beke | Learning with Type-2 Fuzzy activation functions to improve the performance of Deep Neural Networks | Engineering Applications of Artificial Intelligence | Article | 1.10.2019 | 20 |
| Serhat İkizoğlu | Position Control of Flexible Manipulator using PSO-Tuned PID Controller | Proceedings - 2019 Innovations in Intelligent Systems and Applications Conference, ASYU 2019 | Conference Paper | 1.10.2019 | 3 |
| Erhan Yumuk | Analytical fractional PID controller design based on Bode's ideal transfer function plus time delay | ISA Transactions | Article | 1.08.2019 | 32 |
| Müjde Güzelkaya | Analytical fractional PID controller design based on Bode's ideal transfer function plus time delay | ISA Transactions | Article | 1.08.2019 | 32 |
| Hakan Temeltaş | Multi-Robot Collaborative Coverage under Localization Uncertainty | Proceedings of 2019 IEEE International Conference on Mechatronics and Automation, ICMA 2019 | Conference Paper | 1.08.2019 | 1 |
| Ovsanna Seta Estrada | Performance Analysis of SVM, ANN and KNN Methods for Acoustic Road-Type Classification | IEEE International Symposium on INnovations in Intelligent SysTems and Applications, INISTA 2019 - Proceedings | Conference Paper | 1.07.2019 | 1 |
